iter	Logloss
0	0.4291975963
1	0.3264210037
2	0.263598651
3	0.2258314805
4	0.1847264629
5	0.1674535682
6	0.1378506789
7	0.1292508063
8	0.1234477135
9	0.1172662322
10	0.1093153332
11	0.1026762319
12	0.09874864002
13	0.09392029739
14	0.09031857496
15	0.08704685
16	0.08479756379
17	0.08052114411
18	0.07501468193
19	0.07036954774
20	0.06868242282
21	0.06687790077
22	0.06483275133
23	0.06355376527
24	0.05986044179
25	0.05845401075
26	0.05599433337
27	0.05494954215
28	0.05317219782
29	0.05192045417
30	0.05080374767
31	0.05029003294
32	0.04892319062
33	0.04765777198
34	0.04548980864
35	0.04480713244
36	0.04378116386
37	0.04292087731
38	0.04206774097
39	0.04066276613
40	0.03974262736
41	0.03891752682
42	0.03778264437
43	0.03632602577
44	0.03484418741
45	0.03441439656
46	0.03383693475
47	0.03348225726
48	0.03271407489
49	0.03201517899
50	0.03132753909
51	0.03030238694
52	0.03010582056
53	0.02949136421
54	0.02858117384
55	0.02796545831
56	0.02757847509
57	0.02734456482
58	0.02661812778
59	0.02607175403
60	0.02532973525
61	0.02494870071
62	0.02442904866
63	0.02373583689
64	0.02313714166
65	0.02273845127
66	0.02234319401
67	0.0220047563
68	0.02174714762
69	0.02136723016
70	0.02121866543
71	0.0207983521
72	0.02030647309
73	0.02001153762
74	0.01987359606
75	0.01969965588
76	0.01946309988
77	0.01946302089
78	0.01915683149
79	0.01898055672
80	0.01882926941
81	0.01857924735
82	0.01818290703
83	0.01790288904
84	0.01775797388
85	0.01759289546
86	0.01717301625
87	0.01690224551
88	0.01674009892
89	0.01642268044
90	0.01638432865
91	0.0160181019
92	0.0158094956
93	0.01566741248
94	0.01555292471
95	0.01551390185
96	0.01522473876
97	0.01511980211
98	0.01500921536
99	0.01477174794
100	0.01464920682
101	0.01439939632
102	0.01430726005
103	0.01423792767
104	0.0142376177
105	0.01394674461
106	0.0139049254
107	0.01377571059
108	0.01367120716
109	0.01343613585
110	0.01332442926
111	0.01328601363
112	0.01315113611
113	0.01296803872
114	0.01284256641
115	0.01284257791
116	0.01284258124
117	0.01266748809
118	0.01265269787
119	0.01259489302
120	0.01259486931
121	0.01230992961
122	0.01208493328
123	0.01199783853
124	0.01181001303
125	0.01172050416
126	0.01169400589
127	0.01158493771
128	0.01145203386
129	0.01137792941
130	0.01123536924
131	0.01113362629
132	0.01099540145
133	0.01095356434
134	0.01078192424
135	0.0107192829
136	0.0105082251
